Year,Year ending,Local Government Area,Location Division,Location Subdivision,Location Group,Incidents Recorded
2025,June,Alpine,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,14
2025,June,Alpine,1 Residential,11 Dwelling - private,112 House,106
2025,June,Alpine,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,2
2025,June,Alpine,1 Residential,11 Dwelling - private,117 Farm House,2
2025,June,Alpine,1 Residential,12 Dwelling  - non-private,122 Holiday Home,1
2025,June,Alpine,1 Residential,12 Dwelling  - non-private,123 Guest House,4
2025,June,Alpine,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,2
2025,June,Alpine,1 Residential,12 Dwelling  - non-private,127 Other Dwelling,1
2025,June,Alpine,1 Residential,13 Grounds/surrounding land,1310 Farm Building,3
2025,June,Alpine,1 Residential,13 Grounds/surrounding land,132 Backyard,8
2025,June,Alpine,1 Residential,13 Grounds/surrounding land,133 Frontyard,14
2025,June,Alpine,1 Residential,13 Grounds/surrounding land,134 Garage,2
2025,June,Alpine,1 Residential,13 Grounds/surrounding land,135 Shed,2
2025,June,Alpine,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,1
2025,June,Alpine,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),3
2025,June,Alpine,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,15
2025,June,Alpine,2 Community,21 Education,211 School,2
2025,June,Alpine,2 Community,21 Education,212 School Grounds,2
2025,June,Alpine,2 Community,21 Education,213 Other Educational,1
2025,June,Alpine,2 Community,22 Health,221 Hospital,1
2025,June,Alpine,2 Community,22 Health,222 Medical Centre,1
2025,June,Alpine,2 Community,23 Religious,231 Church,1
2025,June,Alpine,2 Community,25 Other Transport,255 Carpark (Single Level),6
2025,June,Alpine,2 Community,25 Other Transport,257 Other Transport Type/Area,2
2025,June,Alpine,2 Community,26 Justice,261 Police Station,2
2025,June,Alpine,2 Community,26 Justice,262 Court,12
2025,June,Alpine,2 Community,26 Justice,265 Other Justice Facility,1
2025,June,Alpine,2 Community,27 Open Space,271 Parkland/Reserve,12
2025,June,Alpine,2 Community,27 Open Space,272 Rural,1
2025,June,Alpine,2 Community,27 Open Space,273 Vacant Block,1
2025,June,Alpine,2 Community,27 Open Space,275 Other Open Space,2
2025,June,Alpine,2 Community,28 Street/footpath,281 Street/Lane/Footpath,54
2025,June,Alpine,2 Community,29 Other community location,292 Civic Centre,1
2025,June,Alpine,2 Community,29 Other community location,294 Car Wash,1
2025,June,Alpine,3 Other,31 Admin/professional,312 Other Admin/Professional,2
2025,June,Alpine,3 Other,33 Retail,3311 Restaurant/Fastfood,3
2025,June,Alpine,3 Other,33 Retail,3312 Other Retail,10
2025,June,Alpine,3 Other,33 Retail,332 Service Station,5
2025,June,Alpine,3 Other,33 Retail,335 Supermarket,8
2025,June,Alpine,3 Other,33 Retail,336 Department Store,1
2025,June,Alpine,3 Other,33 Retail,337 Shopping Complex,2
2025,June,Alpine,3 Other,35 Warehousing/storage,351 Warehousing/Storage,1
2025,June,Alpine,3 Other,37 Agricultural,373 Other Agricultural,1
2025,June,Alpine,3 Other,38 Recreational,381 Licensed Premises,16
2025,June,Alpine,3 Other,38 Recreational,384 Sport Area/Facility,4
2025,June,Alpine,3 Other,39 Other location,392 Other Location (Not Elsewhere),7
2025,June,Alpine,3 Other,39 Other location,393 Construction Site,2
2025,June,Ararat,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,30
2025,June,Ararat,1 Residential,11 Dwelling - private,112 House,381
2025,June,Ararat,1 Residential,11 Dwelling - private,113 Bungalow,2
2025,June,Ararat,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,4
2025,June,Ararat,1 Residential,11 Dwelling - private,116 Ministry Of Housing,1
2025,June,Ararat,1 Residential,11 Dwelling - private,117 Farm House,12
2025,June,Ararat,1 Residential,12 Dwelling  - non-private,121 Boarding House,3
2025,June,Ararat,1 Residential,12 Dwelling  - non-private,122 Holiday Home,1
2025,June,Ararat,1 Residential,12 Dwelling  - non-private,124 Nursing Home,1
2025,June,Ararat,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,7
2025,June,Ararat,1 Residential,12 Dwelling  - non-private,127 Other Dwelling,5
2025,June,Ararat,1 Residential,13 Grounds/surrounding land,1310 Farm Building,13
2025,June,Ararat,1 Residential,13 Grounds/surrounding land,1311 Storage Cage,1
2025,June,Ararat,1 Residential,13 Grounds/surrounding land,132 Backyard,17
2025,June,Ararat,1 Residential,13 Grounds/surrounding land,133 Frontyard,33
2025,June,Ararat,1 Residential,13 Grounds/surrounding land,134 Garage,7
2025,June,Ararat,1 Residential,13 Grounds/surrounding land,135 Shed,11
2025,June,Ararat,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),10
2025,June,Ararat,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,22
2025,June,Ararat,2 Community,21 Education,211 School,13
2025,June,Ararat,2 Community,21 Education,212 School Grounds,6
2025,June,Ararat,2 Community,21 Education,213 Other Educational,3
2025,June,Ararat,2 Community,22 Health,221 Hospital,3
2025,June,Ararat,2 Community,22 Health,222 Medical Centre,3
2025,June,Ararat,2 Community,22 Health,223 Dental,1
2025,June,Ararat,2 Community,22 Health,224 Other Health,1
2025,June,Ararat,2 Community,23 Religious,231 Church,1
2025,June,Ararat,2 Community,23 Religious,232 Other religious,1
2025,June,Ararat,2 Community,24 Public Transport,241 Train,1
2025,June,Ararat,2 Community,24 Public Transport,2410 Rail Track,5
2025,June,Ararat,2 Community,24 Public Transport,242 Train Station,9
2025,June,Ararat,2 Community,24 Public Transport,245 Bus/Bus Stop,1
2025,June,Ararat,2 Community,24 Public Transport,247 Freight Yard,1
2025,June,Ararat,2 Community,25 Other Transport,251 Private Car,1
2025,June,Ararat,2 Community,25 Other Transport,255 Carpark (Single Level),8
2025,June,Ararat,2 Community,25 Other Transport,257 Other Transport Type/Area,3
2025,June,Ararat,2 Community,26 Justice,261 Police Station,14
2025,June,Ararat,2 Community,26 Justice,262 Court,36
2025,June,Ararat,2 Community,27 Open Space,271 Parkland/Reserve,12
2025,June,Ararat,2 Community,27 Open Space,272 Rural,12
2025,June,Ararat,2 Community,27 Open Space,273 Vacant Block,1
2025,June,Ararat,2 Community,27 Open Space,275 Other Open Space,4
2025,June,Ararat,2 Community,28 Street/footpath,281 Street/Lane/Footpath,174
2025,June,Ararat,2 Community,29 Other community location,292 Civic Centre,1
2025,June,Ararat,2 Community,29 Other community location,294 Car Wash,4
2025,June,Ararat,3 Other,31 Admin/professional,311 Business Office,10
2025,June,Ararat,3 Other,31 Admin/professional,312 Other Admin/Professional,6
2025,June,Ararat,3 Other,33 Retail,331 Chemist/Pharmacy,1
2025,June,Ararat,3 Other,33 Retail,3310 24Hr Convenience,1
2025,June,Ararat,3 Other,33 Retail,3311 Restaurant/Fastfood,11
2025,June,Ararat,3 Other,33 Retail,3312 Other Retail,22
2025,June,Ararat,3 Other,33 Retail,332 Service Station,30
2025,June,Ararat,3 Other,33 Retail,335 Supermarket,35
2025,June,Ararat,3 Other,33 Retail,336 Department Store,8
2025,June,Ararat,3 Other,33 Retail,337 Shopping Complex,11
2025,June,Ararat,3 Other,33 Retail,338 Car Sales Yard,1
2025,June,Ararat,3 Other,33 Retail,339 Milkbar,1
2025,June,Ararat,3 Other,34 Wholesale,341 Any Wholesale,2
2025,June,Ararat,3 Other,35 Warehousing/storage,351 Warehousing/Storage,6
2025,June,Ararat,3 Other,36 Manufacturing,361 Factory,5
2025,June,Ararat,3 Other,37 Agricultural,371 Farmland/Agricultural,28
2025,June,Ararat,3 Other,37 Agricultural,372 Orchard,1
2025,June,Ararat,3 Other,37 Agricultural,373 Other Agricultural,5
2025,June,Ararat,3 Other,38 Recreational,381 Licensed Premises,15
2025,June,Ararat,3 Other,38 Recreational,384 Sport Area/Facility,18
2025,June,Ararat,3 Other,38 Recreational,385 Gaming Venue,5
2025,June,Ararat,3 Other,38 Recreational,386 Other Rec./Sports,12
2025,June,Ararat,3 Other,38 Recreational,387 Gym/Fitness,4
2025,June,Ararat,3 Other,39 Other location,392 Other Location (Not Elsewhere),18
2025,June,Ararat,3 Other,39 Other location,393 Construction Site,4
2025,June,Ararat,3 Other,39 Other location,394 Veterinary Clinic,1
2025,June,Ballarat,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,255
2025,June,Ballarat,1 Residential,11 Dwelling - private,112 House,2972
2025,June,Ballarat,1 Residential,11 Dwelling - private,113 Bungalow,5
2025,June,Ballarat,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,17
2025,June,Ballarat,1 Residential,11 Dwelling - private,115 Houseboat,3
2025,June,Ballarat,1 Residential,11 Dwelling - private,116 Ministry Of Housing,18
2025,June,Ballarat,1 Residential,11 Dwelling - private,117 Farm House,9
2025,June,Ballarat,1 Residential,12 Dwelling  - non-private,121 Boarding House,11
2025,June,Ballarat,1 Residential,12 Dwelling  - non-private,122 Holiday Home,2
2025,June,Ballarat,1 Residential,12 Dwelling  - non-private,123 Guest House,5
2025,June,Ballarat,1 Residential,12 Dwelling  - non-private,124 Nursing Home,8
2025,June,Ballarat,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,40
2025,June,Ballarat,1 Residential,12 Dwelling  - non-private,127 Other Dwelling,51
2025,June,Ballarat,1 Residential,13 Grounds/surrounding land,131 Clothesline/Laundry,1
2025,June,Ballarat,1 Residential,13 Grounds/surrounding land,1310 Farm Building,5
2025,June,Ballarat,1 Residential,13 Grounds/surrounding land,1311 Storage Cage,6
2025,June,Ballarat,1 Residential,13 Grounds/surrounding land,132 Backyard,81
2025,June,Ballarat,1 Residential,13 Grounds/surrounding land,133 Frontyard,220
2025,June,Ballarat,1 Residential,13 Grounds/surrounding land,134 Garage,84
2025,June,Ballarat,1 Residential,13 Grounds/surrounding land,135 Shed,75
2025,June,Ballarat,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,33
2025,June,Ballarat,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),27
2025,June,Ballarat,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,486
2025,June,Ballarat,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,28
2025,June,Ballarat,2 Community,21 Education,211 School,82
2025,June,Ballarat,2 Community,21 Education,212 School Grounds,40
2025,June,Ballarat,2 Community,21 Education,213 Other Educational,19
2025,June,Ballarat,2 Community,22 Health,221 Hospital,40
2025,June,Ballarat,2 Community,22 Health,222 Medical Centre,21
2025,June,Ballarat,2 Community,22 Health,224 Other Health,14
2025,June,Ballarat,2 Community,23 Religious,231 Church,13
2025,June,Ballarat,2 Community,23 Religious,232 Other religious,4
2025,June,Ballarat,2 Community,24 Public Transport,241 Train,5
2025,June,Ballarat,2 Community,24 Public Transport,2410 Rail Track,3
2025,June,Ballarat,2 Community,24 Public Transport,242 Train Station,122
2025,June,Ballarat,2 Community,24 Public Transport,243 Railway Carpark,55
2025,June,Ballarat,2 Community,24 Public Transport,245 Bus/Bus Stop,37
2025,June,Ballarat,2 Community,24 Public Transport,246 Depot/Terminal,1
2025,June,Ballarat,2 Community,24 Public Transport,248 Office (Public transport office Only),2
2025,June,Ballarat,2 Community,24 Public Transport,249 Taxi,4
2025,June,Ballarat,2 Community,25 Other Transport,251 Private Car,15
2025,June,Ballarat,2 Community,25 Other Transport,252 Airfield,8
2025,June,Ballarat,2 Community,25 Other Transport,255 Carpark (Single Level),256
2025,June,Ballarat,2 Community,25 Other Transport,256 Carpark (Multi Level),12
2025,June,Ballarat,2 Community,25 Other Transport,257 Other Transport Type/Area,22
2025,June,Ballarat,2 Community,26 Justice,261 Police Station,57
2025,June,Ballarat,2 Community,26 Justice,262 Court,276
2025,June,Ballarat,2 Community,26 Justice,264 Youth Training Centre,1
2025,June,Ballarat,2 Community,26 Justice,265 Other Justice Facility,4
2025,June,Ballarat,2 Community,27 Open Space,271 Parkland/Reserve,92
2025,June,Ballarat,2 Community,27 Open Space,272 Rural,17
2025,June,Ballarat,2 Community,27 Open Space,273 Vacant Block,10
2025,June,Ballarat,2 Community,27 Open Space,275 Other Open Space,57
2025,June,Ballarat,2 Community,28 Street/footpath,281 Street/Lane/Footpath,1677
2025,June,Ballarat,2 Community,29 Other community location,291 Cemetery,8
2025,June,Ballarat,2 Community,29 Other community location,292 Civic Centre,7
2025,June,Ballarat,2 Community,29 Other community location,293 Gallery,2
2025,June,Ballarat,2 Community,29 Other community location,294 Car Wash,22
2025,June,Ballarat,3 Other,31 Admin/professional,311 Business Office,66
2025,June,Ballarat,3 Other,31 Admin/professional,312 Other Admin/Professional,33
2025,June,Ballarat,3 Other,32 Financial,321 Bank,6
2025,June,Ballarat,3 Other,32 Financial,324 Other Financial,2
2025,June,Ballarat,3 Other,33 Retail,331 Chemist/Pharmacy,12
2025,June,Ballarat,3 Other,33 Retail,3310 24Hr Convenience,19
2025,June,Ballarat,3 Other,33 Retail,3311 Restaurant/Fastfood,143
2025,June,Ballarat,3 Other,33 Retail,3312 Other Retail,522
2025,June,Ballarat,3 Other,33 Retail,332 Service Station,521
2025,June,Ballarat,3 Other,33 Retail,333 Jeweller,3
2025,June,Ballarat,3 Other,33 Retail,334 2nd Hand Dealer,3
2025,June,Ballarat,3 Other,33 Retail,335 Supermarket,241
2025,June,Ballarat,3 Other,33 Retail,336 Department Store,124
2025,June,Ballarat,3 Other,33 Retail,337 Shopping Complex,317
2025,June,Ballarat,3 Other,33 Retail,338 Car Sales Yard,98
2025,June,Ballarat,3 Other,33 Retail,339 Milkbar,5
2025,June,Ballarat,3 Other,34 Wholesale,341 Any Wholesale,10
2025,June,Ballarat,3 Other,35 Warehousing/storage,351 Warehousing/Storage,67
2025,June,Ballarat,3 Other,36 Manufacturing,361 Factory,44
2025,June,Ballarat,3 Other,36 Manufacturing,362 Any Manufacturing,25
2025,June,Ballarat,3 Other,37 Agricultural,371 Farmland/Agricultural,9
2025,June,Ballarat,3 Other,37 Agricultural,373 Other Agricultural,14
2025,June,Ballarat,3 Other,38 Recreational,381 Licensed Premises,149
2025,June,Ballarat,3 Other,38 Recreational,382 Tab,1
2025,June,Ballarat,3 Other,38 Recreational,383 Cinema,1
2025,June,Ballarat,3 Other,38 Recreational,384 Sport Area/Facility,49
2025,June,Ballarat,3 Other,38 Recreational,385 Gaming Venue,27
2025,June,Ballarat,3 Other,38 Recreational,386 Other Rec./Sports,46
2025,June,Ballarat,3 Other,38 Recreational,387 Gym/Fitness,7
2025,June,Ballarat,3 Other,39 Other location,392 Other Location (Not Elsewhere),93
2025,June,Ballarat,3 Other,39 Other location,393 Construction Site,54
2025,June,Ballarat,3 Other,39 Other location,394 Veterinary Clinic,1
2025,June,Banyule,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,475
2025,June,Banyule,1 Residential,11 Dwelling - private,112 House,1922
2025,June,Banyule,1 Residential,11 Dwelling - private,113 Bungalow,12
2025,June,Banyule,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,2
2025,June,Banyule,1 Residential,11 Dwelling - private,115 Houseboat,1
2025,June,Banyule,1 Residential,11 Dwelling - private,116 Ministry Of Housing,18
2025,June,Banyule,1 Residential,12 Dwelling  - non-private,121 Boarding House,8
2025,June,Banyule,1 Residential,12 Dwelling  - non-private,122 Holiday Home,2
2025,June,Banyule,1 Residential,12 Dwelling  - non-private,123 Guest House,1
2025,June,Banyule,1 Residential,12 Dwelling  - non-private,124 Nursing Home,6
2025,June,Banyule,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,7
2025,June,Banyule,1 Residential,12 Dwelling  - non-private,127 Other Dwelling,20
2025,June,Banyule,1 Residential,13 Grounds/surrounding land,131 Clothesline/Laundry,1
2025,June,Banyule,1 Residential,13 Grounds/surrounding land,1311 Storage Cage,37
2025,June,Banyule,1 Residential,13 Grounds/surrounding land,132 Backyard,46
2025,June,Banyule,1 Residential,13 Grounds/surrounding land,133 Frontyard,209
2025,June,Banyule,1 Residential,13 Grounds/surrounding land,134 Garage,58
2025,June,Banyule,1 Residential,13 Grounds/surrounding land,135 Shed,19
2025,June,Banyule,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,31
2025,June,Banyule,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),32
2025,June,Banyule,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,403
2025,June,Banyule,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,132
2025,June,Banyule,2 Community,21 Education,211 School,39
2025,June,Banyule,2 Community,21 Education,212 School Grounds,27
2025,June,Banyule,2 Community,21 Education,213 Other Educational,15
2025,June,Banyule,2 Community,22 Health,221 Hospital,82
2025,June,Banyule,2 Community,22 Health,222 Medical Centre,11
2025,June,Banyule,2 Community,22 Health,224 Other Health,24
2025,June,Banyule,2 Community,23 Religious,231 Church,11
2025,June,Banyule,2 Community,24 Public Transport,241 Train,10
2025,June,Banyule,2 Community,24 Public Transport,2410 Rail Track,6
2025,June,Banyule,2 Community,24 Public Transport,242 Train Station,114
2025,June,Banyule,2 Community,24 Public Transport,243 Railway Carpark,37
2025,June,Banyule,2 Community,24 Public Transport,244 Tram/Tram Stop,3
2025,June,Banyule,2 Community,24 Public Transport,245 Bus/Bus Stop,25
2025,June,Banyule,2 Community,24 Public Transport,249 Taxi,2
2025,June,Banyule,2 Community,25 Other Transport,251 Private Car,7
2025,June,Banyule,2 Community,25 Other Transport,255 Carpark (Single Level),219
2025,June,Banyule,2 Community,25 Other Transport,256 Carpark (Multi Level),70
2025,June,Banyule,2 Community,25 Other Transport,257 Other Transport Type/Area,13
2025,June,Banyule,2 Community,26 Justice,261 Police Station,66
2025,June,Banyule,2 Community,26 Justice,262 Court,604
2025,June,Banyule,2 Community,26 Justice,264 Youth Training Centre,1
2025,June,Banyule,2 Community,26 Justice,265 Other Justice Facility,4
2025,June,Banyule,2 Community,27 Open Space,271 Parkland/Reserve,52
2025,June,Banyule,2 Community,27 Open Space,272 Rural,1
2025,June,Banyule,2 Community,27 Open Space,273 Vacant Block,6
2025,June,Banyule,2 Community,27 Open Space,275 Other Open Space,21
2025,June,Banyule,2 Community,28 Street/footpath,281 Street/Lane/Footpath,1387
2025,June,Banyule,2 Community,29 Other community location,292 Civic Centre,8
2025,June,Banyule,2 Community,29 Other community location,294 Car Wash,10
2025,June,Banyule,3 Other,31 Admin/professional,311 Business Office,35
2025,June,Banyule,3 Other,31 Admin/professional,312 Other Admin/Professional,12
2025,June,Banyule,3 Other,32 Financial,321 Bank,4
2025,June,Banyule,3 Other,32 Financial,323 ATM/Eftpos,3
2025,June,Banyule,3 Other,33 Retail,331 Chemist/Pharmacy,51
2025,June,Banyule,3 Other,33 Retail,3310 24Hr Convenience,29
2025,June,Banyule,3 Other,33 Retail,3311 Restaurant/Fastfood,90
2025,June,Banyule,3 Other,33 Retail,3312 Other Retail,354
2025,June,Banyule,3 Other,33 Retail,332 Service Station,131
2025,June,Banyule,3 Other,33 Retail,333 Jeweller,2
2025,June,Banyule,3 Other,33 Retail,334 2nd Hand Dealer,1
2025,June,Banyule,3 Other,33 Retail,335 Supermarket,189
2025,June,Banyule,3 Other,33 Retail,336 Department Store,31
2025,June,Banyule,3 Other,33 Retail,337 Shopping Complex,281
2025,June,Banyule,3 Other,33 Retail,338 Car Sales Yard,17
2025,June,Banyule,3 Other,33 Retail,339 Milkbar,10
2025,June,Banyule,3 Other,34 Wholesale,341 Any Wholesale,7
2025,June,Banyule,3 Other,35 Warehousing/storage,351 Warehousing/Storage,32
2025,June,Banyule,3 Other,36 Manufacturing,361 Factory,37
2025,June,Banyule,3 Other,36 Manufacturing,362 Any Manufacturing,7
2025,June,Banyule,3 Other,38 Recreational,381 Licensed Premises,140
2025,June,Banyule,3 Other,38 Recreational,382 Tab,3
2025,June,Banyule,3 Other,38 Recreational,383 Cinema,1
2025,June,Banyule,3 Other,38 Recreational,384 Sport Area/Facility,26
2025,June,Banyule,3 Other,38 Recreational,385 Gaming Venue,6
2025,June,Banyule,3 Other,38 Recreational,386 Other Rec./Sports,32
2025,June,Banyule,3 Other,38 Recreational,387 Gym/Fitness,10
2025,June,Banyule,3 Other,39 Other location,391 Brothel/Sexual Services Premises,3
2025,June,Banyule,3 Other,39 Other location,392 Other Location (Not Elsewhere),49
2025,June,Banyule,3 Other,39 Other location,393 Construction Site,38
2025,June,Banyule,3 Other,39 Other location,394 Veterinary Clinic,2
2025,June,Bass Coast,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,82
2025,June,Bass Coast,1 Residential,11 Dwelling - private,112 House,994
2025,June,Bass Coast,1 Residential,11 Dwelling - private,113 Bungalow,5
2025,June,Bass Coast,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,13
2025,June,Bass Coast,1 Residential,11 Dwelling - private,115 Houseboat,1
2025,June,Bass Coast,1 Residential,11 Dwelling - private,116 Ministry Of Housing,1
2025,June,Bass Coast,1 Residential,11 Dwelling - private,117 Farm House,7
2025,June,Bass Coast,1 Residential,12 Dwelling  - non-private,122 Holiday Home,47
2025,June,Bass Coast,1 Residential,12 Dwelling  - non-private,123 Guest House,3
2025,June,Bass Coast,1 Residential,12 Dwelling  - non-private,124 Nursing Home,5
2025,June,Bass Coast,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,18
2025,June,Bass Coast,1 Residential,12 Dwelling  - non-private,127 Other Dwelling,7
2025,June,Bass Coast,1 Residential,13 Grounds/surrounding land,131 Clothesline/Laundry,2
2025,June,Bass Coast,1 Residential,13 Grounds/surrounding land,1310 Farm Building,2
2025,June,Bass Coast,1 Residential,13 Grounds/surrounding land,132 Backyard,28
2025,June,Bass Coast,1 Residential,13 Grounds/surrounding land,133 Frontyard,57
2025,June,Bass Coast,1 Residential,13 Grounds/surrounding land,134 Garage,24
2025,June,Bass Coast,1 Residential,13 Grounds/surrounding land,135 Shed,17
2025,June,Bass Coast,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,13
2025,June,Bass Coast,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),7
2025,June,Bass Coast,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,84
2025,June,Bass Coast,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,13
2025,June,Bass Coast,2 Community,21 Education,211 School,26
2025,June,Bass Coast,2 Community,21 Education,212 School Grounds,9
2025,June,Bass Coast,2 Community,21 Education,213 Other Educational,4
2025,June,Bass Coast,2 Community,22 Health,221 Hospital,4
2025,June,Bass Coast,2 Community,22 Health,222 Medical Centre,5
2025,June,Bass Coast,2 Community,22 Health,224 Other Health,3
2025,June,Bass Coast,2 Community,23 Religious,231 Church,1
2025,June,Bass Coast,2 Community,24 Public Transport,245 Bus/Bus Stop,10
2025,June,Bass Coast,2 Community,25 Other Transport,251 Private Car,2
2025,June,Bass Coast,2 Community,25 Other Transport,253 Boat,2
2025,June,Bass Coast,2 Community,25 Other Transport,254 Dock/Wharf,3
2025,June,Bass Coast,2 Community,25 Other Transport,255 Carpark (Single Level),49
2025,June,Bass Coast,2 Community,25 Other Transport,257 Other Transport Type/Area,5
2025,June,Bass Coast,2 Community,26 Justice,261 Police Station,28
2025,June,Bass Coast,2 Community,26 Justice,262 Court,10
2025,June,Bass Coast,2 Community,26 Justice,269 Other Justice (nec),1
2025,June,Bass Coast,2 Community,27 Open Space,271 Parkland/Reserve,34
2025,June,Bass Coast,2 Community,27 Open Space,273 Vacant Block,1
2025,June,Bass Coast,2 Community,27 Open Space,274 Beach Foreshore,22
2025,June,Bass Coast,2 Community,27 Open Space,275 Other Open Space,13
2025,June,Bass Coast,2 Community,27 Open Space,276 Beach Car Park,13
2025,June,Bass Coast,2 Community,28 Street/footpath,281 Street/Lane/Footpath,242
2025,June,Bass Coast,2 Community,29 Other community location,291 Cemetery,1
2025,June,Bass Coast,2 Community,29 Other community location,292 Civic Centre,5
2025,June,Bass Coast,2 Community,29 Other community location,294 Car Wash,2
2025,June,Bass Coast,3 Other,31 Admin/professional,311 Business Office,8
2025,June,Bass Coast,3 Other,31 Admin/professional,312 Other Admin/Professional,7
2025,June,Bass Coast,3 Other,32 Financial,321 Bank,2
2025,June,Bass Coast,3 Other,32 Financial,323 ATM/Eftpos,2
2025,June,Bass Coast,3 Other,33 Retail,331 Chemist/Pharmacy,10
2025,June,Bass Coast,3 Other,33 Retail,3311 Restaurant/Fastfood,41
2025,June,Bass Coast,3 Other,33 Retail,3312 Other Retail,115
2025,June,Bass Coast,3 Other,33 Retail,332 Service Station,73
2025,June,Bass Coast,3 Other,33 Retail,334 2nd Hand Dealer,2
2025,June,Bass Coast,3 Other,33 Retail,335 Supermarket,90
2025,June,Bass Coast,3 Other,33 Retail,336 Department Store,16
2025,June,Bass Coast,3 Other,33 Retail,337 Shopping Complex,36
2025,June,Bass Coast,3 Other,33 Retail,338 Car Sales Yard,3
2025,June,Bass Coast,3 Other,33 Retail,339 Milkbar,4
2025,June,Bass Coast,3 Other,34 Wholesale,341 Any Wholesale,5
2025,June,Bass Coast,3 Other,35 Warehousing/storage,351 Warehousing/Storage,7
2025,June,Bass Coast,3 Other,36 Manufacturing,361 Factory,10
2025,June,Bass Coast,3 Other,37 Agricultural,371 Farmland/Agricultural,8
2025,June,Bass Coast,3 Other,37 Agricultural,373 Other Agricultural,7
2025,June,Bass Coast,3 Other,38 Recreational,381 Licensed Premises,48
2025,June,Bass Coast,3 Other,38 Recreational,382 Tab,1
2025,June,Bass Coast,3 Other,38 Recreational,383 Cinema,2
2025,June,Bass Coast,3 Other,38 Recreational,384 Sport Area/Facility,10
2025,June,Bass Coast,3 Other,38 Recreational,385 Gaming Venue,6
2025,June,Bass Coast,3 Other,38 Recreational,386 Other Rec./Sports,9
2025,June,Bass Coast,3 Other,38 Recreational,387 Gym/Fitness,2
2025,June,Bass Coast,3 Other,39 Other location,392 Other Location (Not Elsewhere),31
2025,June,Bass Coast,3 Other,39 Other location,393 Construction Site,9
2025,June,Baw Baw,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,87
2025,June,Baw Baw,1 Residential,11 Dwelling - private,112 House,1344
2025,June,Baw Baw,1 Residential,11 Dwelling - private,113 Bungalow,4
2025,June,Baw Baw,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,11
2025,June,Baw Baw,1 Residential,11 Dwelling - private,116 Ministry Of Housing,1
2025,June,Baw Baw,1 Residential,11 Dwelling - private,117 Farm House,26
2025,June,Baw Baw,1 Residential,12 Dwelling  - non-private,121 Boarding House,7
2025,June,Baw Baw,1 Residential,12 Dwelling  - non-private,123 Guest House,4
2025,June,Baw Baw,1 Residential,12 Dwelling  - non-private,124 Nursing Home,6
2025,June,Baw Baw,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,13
2025,June,Baw Baw,1 Residential,12 Dwelling  - non-private,127 Other Dwelling,9
2025,June,Baw Baw,1 Residential,13 Grounds/surrounding land,1310 Farm Building,6
2025,June,Baw Baw,1 Residential,13 Grounds/surrounding land,132 Backyard,26
2025,June,Baw Baw,1 Residential,13 Grounds/surrounding land,133 Frontyard,81
2025,June,Baw Baw,1 Residential,13 Grounds/surrounding land,134 Garage,25
2025,June,Baw Baw,1 Residential,13 Grounds/surrounding land,135 Shed,25
2025,June,Baw Baw,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,10
2025,June,Baw Baw,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),10
2025,June,Baw Baw,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,212
2025,June,Baw Baw,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,4
2025,June,Baw Baw,2 Community,21 Education,211 School,50
2025,June,Baw Baw,2 Community,21 Education,212 School Grounds,19
