Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
2024,June,2 Eastern, Benalla,1083,7400.1
2024,June,2 Eastern, Boroondara,6129,3443.1
2024,June,2 Eastern, East Gippsland,3877,7844.7
2024,June,2 Eastern, Greater Shepparton,6121,8760.1
2024,June,2 Eastern, Indigo,442,2484.8
2024,June,2 Eastern, Knox,7401,4532.1
2024,June,2 Eastern, Latrobe,9066,11498.5
2024,June,2 Eastern, Manningham,3883,2947.0
2024,June,2 Eastern, Mansfield,369,3422.4
2024,June,2 Eastern, Maroondah,5769,4833.5
2024,June,2 Eastern, Mitchell,3298,5849.2
2024,June,2 Eastern, Moira,1756,5694.6
2024,June,2 Eastern, Monash,10108,4830.2
2024,June,2 Eastern, Murrindindi,549,3518.6
2024,June,2 Eastern, South Gippsland,1554,5009.3
2024,June,2 Eastern, Strathbogie,476,4054.9
2024,June,2 Eastern, Towong,190,3046.3
2024,June,2 Eastern, Wangaratta,1941,6433.8
2024,June,2 Eastern, Wellington,3243,6969.2
2024,June,2 Eastern, Whitehorse,7687,4190.0
2024,June,2 Eastern, Wodonga,3307,7377.7
2024,June,2 Eastern, Yarra Ranges,5124,3199.8
2024,June,2 Eastern,Total,89482,5030.9
2024,June,3 Southern Metro, Bayside,4156,3916.4
2024,June,3 Southern Metro, Cardinia,5477,4200.7
2024,June,3 Southern Metro, Casey,18151,4477.1
2024,June,3 Southern Metro, Frankston,11576,8004.7
2024,June,3 Southern Metro, Glen Eira,5984,3715.5
2024,June,3 Southern Metro, Greater Dandenong,14632,8746.1
2024,June,3 Southern Metro, Kingston,9114,5473.2
2024,June,3 Southern Metro, Mornington Peninsula,8435,4919.8
2024,June,3 Southern Metro, Port Phillip,10382,9214.6
2024,June,3 Southern Metro, Stonnington,8972,7867.6
2024,June,3 Southern Metro,Total,96879,5768.1
2024,June,4 Western, Ararat,1092,9344.5
2024,June,4 Western, Ballarat,9558,7895.9
2024,June,4 Western, Buloke,253,4247.8
2024,June,4 Western, Campaspe,2795,7325.8
2024,June,4 Western, Central Goldfields,1005,7333.6
2024,June,4 Western, Colac-Otway,1231,5520.2
2024,June,4 Western, Corangamite,616,3887.4
2024,June,4 Western, Gannawarra,680,6535.9
2024,June,4 Western, Glenelg,1270,6347.8
2024,June,4 Western, Golden Plains,562,2133.9
2024,June,4 Western, Greater Bendigo,8459,6723.9
2024,June,4 Western, Greater Geelong,17048,5887.5
2024,June,4 Western, Hepburn,581,3453.4
2024,June,4 Western, Hindmarsh,236,4319.2
2024,June,4 Western, Horsham,1789,8779.9
2024,June,4 Western, Loddon,334,4306.9
2024,June,4 Western, Macedon Ranges,1573,2927.2
2024,June,4 Western, Mildura,5953,10330.4
2024,June,4 Western, Moorabool,1826,4586.3
2024,June,4 Western, Mount Alexander,876,4211.7
2024,June,4 Western, Moyne,507,2861.7
2024,June,4 Western, Northern Grampians,794,6724.3
2024,June,4 Western, Pyrenees,308,3870.3
2024,June,4 Western, Queenscliffe,44,1332.5
2024,June,4 Western, Southern Grampians,1024,6196.7
2024,June,4 Western, Surf Coast,976,2444.4
2024,June,4 Western, Swan Hill,1420,6731.8
2024,June,4 Western, Warrnambool,2331,6448.1
2024,June,4 Western, West Wimmera,139,3552.3
2024,June,4 Western, Yarriambiack,359,5657.1
2024,June,4 Western,Total,65639,6033.3
2024,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,972,
2024,June,Justice Institutions and Immigration Facilities,Total,972,
2024,June,Unincorporated Vic, Unincorporated Vic,89,
2024,June,Unincorporated Vic,Total,89,
2023,June,1 North West Metro, Banyule,5571,4298.4
2023,June,1 North West Metro, Brimbank,12725,6490.4
2023,June,1 North West Metro, Darebin,10022,6436.2
2023,June,1 North West Metro, Hobsons Bay,4492,4792.0
2023,June,1 North West Metro, Hume,13140,5001.1
2023,June,1 North West Metro, Maribyrnong,7279,7931.3
2023,June,1 North West Metro, Melbourne,25399,14286.4
2023,June,1 North West Metro, Melton,8808,4275.3
2023,June,1 North West Metro, Merri-bek,9785,5398.2
2023,June,1 North West Metro, Moonee Valley,5976,4724.1
2023,June,1 North West Metro, Nillumbik,1160,1833.7
2023,June,1 North West Metro, Whittlesea,9212,3759.8
2023,June,1 North West Metro, Wyndham,14099,4350.7
2023,June,1 North West Metro, Yarra,9939,10193.3
2023,June,1 North West Metro,Total,137607,5853.0
2023,June,2 Eastern, Alpine,348,2640.2
2023,June,2 Eastern, Bass Coast,2057,4814.1
2023,June,2 Eastern, Baw Baw,3025,4988.8
2023,June,2 Eastern, Benalla,1009,6944.7
2023,June,2 Eastern, Boroondara,6042,3459.8
2023,June,2 Eastern, East Gippsland,3437,6989.2
2023,June,2 Eastern, Greater Shepparton,5686,8224.7
2023,June,2 Eastern, Indigo,548,3103.1
2023,June,2 Eastern, Knox,7133,4409.5
2023,June,2 Eastern, Latrobe,8231,10532.7
2023,June,2 Eastern, Manningham,3348,2584.5
2023,June,2 Eastern, Mansfield,295,2797.3
2023,June,2 Eastern, Maroondah,5410,4606.9
2023,June,2 Eastern, Mitchell,2604,4848.1
2023,June,2 Eastern, Moira,1649,5358.9
2023,June,2 Eastern, Monash,9823,4822.6
2023,June,2 Eastern, Murrindindi,562,3630.0
2023,June,2 Eastern, South Gippsland,1438,4665.5
2023,June,2 Eastern, Strathbogie,391,3376.8
2023,June,2 Eastern, Towong,169,2707.0
2023,June,2 Eastern, Wangaratta,1847,6156.7
2023,June,2 Eastern, Wellington,3119,6762.8
2023,June,2 Eastern, Whitehorse,6767,3786.5
2023,June,2 Eastern, Wodonga,2833,6399.5
2023,June,2 Eastern, Yarra Ranges,4821,3038.3
2023,June,2 Eastern,Total,82592,4721.8
2023,June,3 Southern Metro, Bayside,4156,3984.4
2023,June,3 Southern Metro, Cardinia,4659,3670.5
2023,June,3 Southern Metro, Casey,16182,4127.4
2023,June,3 Southern Metro, Frankston,9859,6903.7
2023,June,3 Southern Metro, Glen Eira,5798,3695.4
2023,June,3 Southern Metro, Greater Dandenong,14141,8631.8
2023,June,3 Southern Metro, Kingston,8576,5237.7
2023,June,3 Southern Metro, Mornington Peninsula,6935,4073.5
2023,June,3 Southern Metro, Port Phillip,9795,8938.3
2023,June,3 Southern Metro, Stonnington,8610,7727.8
2023,June,3 Southern Metro,Total,88711,5403.2
2023,June,4 Western, Ararat,868,7429.6
2023,June,4 Western, Ballarat,8468,7168.6
2023,June,4 Western, Buloke,272,4504.1
2023,June,4 Western, Campaspe,2930,7650.9
2023,June,4 Western, Central Goldfields,769,5665.2
2023,June,4 Western, Colac-Otway,1138,5109.6
2023,June,4 Western, Corangamite,503,3154.2
2023,June,4 Western, Gannawarra,550,5278.8
2023,June,4 Western, Glenelg,1062,5304.4
2023,June,4 Western, Golden Plains,491,1902.2
2023,June,4 Western, Greater Bendigo,7995,6439.3
2023,June,4 Western, Greater Geelong,15705,5553.6
2023,June,4 Western, Hepburn,533,3197.4
2023,June,4 Western, Hindmarsh,202,3633.7
2023,June,4 Western, Horsham,1665,8197.1
2023,June,4 Western, Loddon,339,4375.9
2023,June,4 Western, Macedon Ranges,1569,2965.1
2023,June,4 Western, Mildura,5694,9893.5
2023,June,4 Western, Moorabool,1669,4270.3
2023,June,4 Western, Mount Alexander,728,3538.3
2023,June,4 Western, Moyne,441,2504.5
2023,June,4 Western, Northern Grampians,714,6011.1
2023,June,4 Western, Pyrenees,267,3429.7
2023,June,4 Western, Queenscliffe,64,1976.5
2023,June,4 Western, Southern Grampians,746,4530.0
2023,June,4 Western, Surf Coast,830,2112.5
2023,June,4 Western, Swan Hill,1559,7350.3
2023,June,4 Western, Warrnambool,2191,6102.0
