Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
2019,June,1 North West Metro, Whittlesea,11907,5266.9
2019,June,1 North West Metro, Wyndham,11724,4291.3
2019,June,1 North West Metro, Yarra,10973,11365.8
2019,June,1 North West Metro,Total,147577,6660.1
2019,June,2 Eastern, Alpine,413,3200.6
2019,June,2 Eastern, Bass Coast,1810,4834.4
2019,June,2 Eastern, Baw Baw,3347,6192.8
2019,June,2 Eastern, Benalla,918,6448.0
2019,June,2 Eastern, Boroondara,5592,3112.5
2019,June,2 Eastern, East Gippsland,3239,6824.1
2019,June,2 Eastern, Greater Shepparton,6203,9158.0
2019,June,2 Eastern, Indigo,410,2429.5
2019,June,2 Eastern, Knox,8026,4914.6
2019,June,2 Eastern, Latrobe,9805,12880.8
2019,June,2 Eastern, Manningham,3507,2764.2
2019,June,2 Eastern, Mansfield,328,3483.1
2019,June,2 Eastern, Maroondah,6035,5115.9
2019,June,2 Eastern, Mitchell,3073,6626.7
2019,June,2 Eastern, Moira,1790,5947.0
2019,June,2 Eastern, Monash,8214,4111.9
2019,June,2 Eastern, Murrindindi,571,3874.6
2019,June,2 Eastern, South Gippsland,1136,3796.4
2019,June,2 Eastern, Strathbogie,481,4410.0
2019,June,2 Eastern, Towong,164,2670.1
2019,June,2 Eastern, Wangaratta,1690,5740.7
2019,June,2 Eastern, Wellington,3011,6739.6
2019,June,2 Eastern, Whitehorse,6484,3687.0
2019,June,2 Eastern, Wodonga,2455,5833.6
2019,June,2 Eastern, Yarra Ranges,5805,3656.8
2019,June,2 Eastern,Total,84507,4933.9
2019,June,3 Southern Metro, Bayside,3773,3589.0
2019,June,3 Southern Metro, Cardinia,4746,4237.4
2019,June,3 Southern Metro, Casey,16502,4688.0
2019,June,3 Southern Metro, Frankston,10751,7572.7
2019,June,3 Southern Metro, Glen Eira,5072,3294.9
2019,June,3 Southern Metro, Greater Dandenong,14357,8633.4
2019,June,3 Southern Metro, Kingston,8794,5389.2
2019,June,3 Southern Metro, Mornington Peninsula,8085,4795.5
2019,June,3 Southern Metro, Port Phillip,9662,8643.6
2019,June,3 Southern Metro, Stonnington,8229,7231.1
2019,June,3 Southern Metro,Total,89971,5663.2
2019,June,4 Western, Ararat,854,7214.1
2019,June,4 Western, Ballarat,8117,7394.4
2019,June,4 Western, Buloke,204,3308.5
2019,June,4 Western, Campaspe,3012,7899.7
2019,June,4 Western, Central Goldfields,882,6607.2
2019,June,4 Western, Colac-Otway,1261,5722.2
2019,June,4 Western, Corangamite,491,3036.3
2019,June,4 Western, Gannawarra,647,6125.7
2019,June,4 Western, Glenelg,950,4751.9
2019,June,4 Western, Golden Plains,470,1974.0
2019,June,4 Western, Greater Bendigo,8363,7074.5
2019,June,4 Western, Greater Geelong,15833,6086.5
2019,June,4 Western, Hepburn,643,3992.5
2019,June,4 Western, Hindmarsh,257,4534.2
2019,June,4 Western, Horsham,1374,6802.0
2019,June,4 Western, Loddon,377,4941.7
2019,June,4 Western, Macedon Ranges,1795,3578.4
2019,June,4 Western, Mildura,5343,9412.7
2019,June,4 Western, Moorabool,1613,4506.5
2019,June,4 Western, Mount Alexander,848,4305.4
2019,June,4 Western, Moyne,486,2859.3
2019,June,4 Western, Northern Grampians,740,6321.0
2019,June,4 Western, Pyrenees,394,5289.3
2019,June,4 Western, Queenscliffe,123,4137.2
2019,June,4 Western, Southern Grampians,1014,6191.2
2019,June,4 Western, Surf Coast,920,2689.0
2019,June,4 Western, Swan Hill,1844,8614.0
2019,June,4 Western, Warrnambool,2934,8358.0
2019,June,4 Western, West Wimmera,144,3619.0
2019,June,4 Western, Yarriambiack,297,4449.4
2019,June,4 Western,Total,62230,6106.5
2019,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,1396,
2019,June,Justice Institutions and Immigration Facilities,Total,1396,
2019,June,Unincorporated Vic, Unincorporated Vic,99,
2019,June,Unincorporated Vic,Total,99,
2018,June,1 North West Metro, Banyule,7282,5616.9
2018,June,1 North West Metro, Brimbank,14210,6865.5
2018,June,1 North West Metro, Darebin,11426,7272.9
2018,June,1 North West Metro, Hobsons Bay,4830,5076.2
2018,June,1 North West Metro, Hume,15429,6841.3
2018,June,1 North West Metro, Maribyrnong,6750,7595.3
2018,June,1 North West Metro, Melbourne,27554,16866.7
2018,June,1 North West Metro, Melton,8104,5161.2
2018,June,1 North West Metro, Merri-bek,11188,6296.7
2018,June,1 North West Metro, Moonee Valley,6780,5403.0
2018,June,1 North West Metro, Nillumbik,1734,2686.6
2018,June,1 North West Metro, Whittlesea,11563,5241.6
2018,June,1 North West Metro, Wyndham,11055,4301.4
2018,June,1 North West Metro, Yarra,10901,11414.2
2018,June,1 North West Metro,Total,148806,6874.9
2018,June,2 Eastern, Alpine,349,2721.9
2018,June,2 Eastern, Bass Coast,1641,4547.8
2018,June,2 Eastern, Baw Baw,3013,5744.8
2018,June,2 Eastern, Benalla,949,6702.9
2018,June,2 Eastern, Boroondara,5634,3140.7
2018,June,2 Eastern, East Gippsland,3180,6783.1
2018,June,2 Eastern, Greater Shepparton,6032,9026.4
2018,June,2 Eastern, Indigo,305,1835.9
2018,June,2 Eastern, Knox,8452,5202.5
2018,June,2 Eastern, Latrobe,9623,12731.2
2018,June,2 Eastern, Manningham,3622,2895.5
2018,June,2 Eastern, Mansfield,385,4206.3
2018,June,2 Eastern, Maroondah,5844,4989.5
2018,June,2 Eastern, Mitchell,3076,6903.7
2018,June,2 Eastern, Moira,1479,4944.8
2018,June,2 Eastern, Monash,8367,4225.5
2018,June,2 Eastern, Murrindindi,563,3866.5
2018,June,2 Eastern, South Gippsland,945,3192.1
2018,June,2 Eastern, Strathbogie,447,4164.3
2018,June,2 Eastern, Towong,166,2721.3
2018,June,2 Eastern, Wangaratta,1747,5968.8
2018,June,2 Eastern, Wellington,2722,6153.8
2018,June,2 Eastern, Whitehorse,6403,3670.8
2018,June,2 Eastern, Wodonga,2391,5755.8
2018,June,2 Eastern, Yarra Ranges,5567,3527.5
2018,June,2 Eastern,Total,82902,4889.8
2018,June,3 Southern Metro, Bayside,3868,3697.1
2018,June,3 Southern Metro, Cardinia,4356,4073.1
2018,June,3 Southern Metro, Casey,14949,4421.6
2018,June,3 Southern Metro, Frankston,11094,7838.6
2018,June,3 Southern Metro, Glen Eira,5074,3329.6
2018,June,3 Southern Metro, Greater Dandenong,13855,8402.3
2018,June,3 Southern Metro, Kingston,8034,4968.9
2018,June,3 Southern Metro, Mornington Peninsula,8366,5022.7
2018,June,3 Southern Metro, Port Phillip,9724,8781.5
2018,June,3 Southern Metro, Stonnington,8184,7220.8
2018,June,3 Southern Metro,Total,87504,5606.4
2018,June,4 Western, Ararat,885,7496.8
2018,June,4 Western, Ballarat,8659,8046.8
2018,June,4 Western, Buloke,184,2961.1
2018,June,4 Western, Campaspe,2558,6740.8
2018,June,4 Western, Central Goldfields,994,7456.9
2018,June,4 Western, Colac-Otway,1270,5819.5
2018,June,4 Western, Corangamite,594,3659.7
2018,June,4 Western, Gannawarra,423,3990.2
2018,June,4 Western, Glenelg,1108,5569.8
2018,June,4 Western, Golden Plains,504,2173.3
2018,June,4 Western, Greater Bendigo,7136,6141.9
2018,June,4 Western, Greater Geelong,16155,6381.0
2018,June,4 Western, Hepburn,642,4037.2
2018,June,4 Western, Hindmarsh,240,4217.2
2018,June,4 Western, Horsham,1640,8173.8
2018,June,4 Western, Loddon,337,4433.0
2018,June,4 Western, Macedon Ranges,1506,3054.6
2018,June,4 Western, Mildura,5099,9080.4
2018,June,4 Western, Moorabool,1741,5022.8
2018,June,4 Western, Mount Alexander,665,3410.3
2018,June,4 Western, Moyne,426,2521.2
2018,June,4 Western, Northern Grampians,771,6627.1
2018,June,4 Western, Pyrenees,327,4462.9
2018,June,4 Western, Queenscliffe,94,3182.1
2018,June,4 Western, Southern Grampians,1087,6672.4
2018,June,4 Western, Surf Coast,889,2714.5
2018,June,4 Western, Swan Hill,1771,8338.0
2018,June,4 Western, Warrnambool,2704,7765.0
2018,June,4 Western, West Wimmera,114,2875.9
2018,June,4 Western, Yarriambiack,347,5180.7
2018,June,4 Western,Total,60870,6078.1
2018,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,1490,
2018,June,Justice Institutions and Immigration Facilities,Total,1490,
2018,June,Unincorporated Vic, Unincorporated Vic,108,
2018,June,Unincorporated Vic,Total,108,
2017,June,1 North West Metro, Banyule,7485,5817.7
2017,June,1 North West Metro, Brimbank,13899,6743.3
2017,June,1 North West Metro, Darebin,12705,8116.9
2017,June,1 North West Metro, Hobsons Bay,5114,5409.2
2017,June,1 North West Metro, Hume,16245,7512.2
2017,June,1 North West Metro, Maribyrnong,6796,7712.2
2017,June,1 North West Metro, Melbourne,27037,17336.3
2017,June,1 North West Metro, Melton,8568,5761.5
2017,June,1 North West Metro, Merri-bek,11398,6509.1
2017,June,1 North West Metro, Moonee Valley,7498,6031.2
2017,June,1 North West Metro, Nillumbik,2103,3264.8
2017,June,1 North West Metro, Whittlesea,12205,5691.9
2017,June,1 North West Metro, Wyndham,11448,4738.9
2017,June,1 North West Metro, Yarra,11121,11767.9
2017,June,1 North West Metro,Total,153622,7283.3
2017,June,2 Eastern, Alpine,279,2199.1
2017,June,2 Eastern, Bass Coast,2050,5899.6
2017,June,2 Eastern, Baw Baw,2830,5561.8
2017,June,2 Eastern, Benalla,982,6989.8
2017,June,2 Eastern, Boroondara,6785,3797.9
2017,June,2 Eastern, East Gippsland,2913,6302.6
2017,June,2 Eastern, Greater Shepparton,6159,9338.2
2017,June,2 Eastern, Indigo,369,2251.4
2017,June,2 Eastern, Knox,9162,5672.2
2017,June,2 Eastern, Latrobe,9968,13275.1
2017,June,2 Eastern, Manningham,4039,3254.0
2017,June,2 Eastern, Mansfield,506,5687.3
2017,June,2 Eastern, Maroondah,6777,5831.0
2017,June,2 Eastern, Mitchell,2994,6955.5
2017,June,2 Eastern, Moira,1471,4950.0
2017,June,2 Eastern, Monash,8919,4558.3
2017,June,2 Eastern, Murrindindi,514,3596.9
2017,June,2 Eastern, South Gippsland,1170,3984.9
2017,June,2 Eastern, Strathbogie,453,4301.2
2017,June,2 Eastern, Towong,173,2852.9
2017,June,2 Eastern, Wangaratta,1863,6435.0
2017,June,2 Eastern, Wellington,3082,7025.0
2017,June,2 Eastern, Whitehorse,6827,3960.5
2017,June,2 Eastern, Wodonga,2513,6153.7
2017,June,2 Eastern, Yarra Ranges,6153,3926.7
2017,June,2 Eastern,Total,88951,5304.7
2017,June,3 Southern Metro, Bayside,3990,3848.9
2017,June,3 Southern Metro, Cardinia,5004,4893.5
2017,June,3 Southern Metro, Casey,17240,5305.5
2017,June,3 Southern Metro, Frankston,11899,8463.0
2017,June,3 Southern Metro, Glen Eira,5782,3836.7
2017,June,3 Southern Metro, Greater Dandenong,14855,9117.7
2017,June,3 Southern Metro, Kingston,8295,5179.8
2017,June,3 Southern Metro, Mornington Peninsula,8928,5437.7
2017,June,3 Southern Metro, Port Phillip,10309,9412.6
2017,June,3 Southern Metro, Stonnington,8693,7752.3
2017,June,3 Southern Metro,Total,94995,6204.4
2017,June,4 Western, Ararat,945,8011.2
2017,June,4 Western, Ballarat,9296,8807.1
2017,June,4 Western, Buloke,137,2202.2
2017,June,4 Western, Campaspe,2680,7090.1
2017,June,4 Western, Central Goldfields,864,6545.5
2017,June,4 Western, Colac-Otway,1618,7492.5
2017,June,4 Western, Corangamite,815,5006.5
2017,June,4 Western, Gannawarra,531,5008.5
2017,June,4 Western, Glenelg,1351,6822.5
2017,June,4 Western, Golden Plains,541,2392.4
2017,June,4 Western, Greater Bendigo,7865,6883.1
2017,June,4 Western, Greater Geelong,17833,7237.9
2017,June,4 Western, Hepburn,685,4360.8
2017,June,4 Western, Hindmarsh,286,4993.0
2017,June,4 Western, Horsham,1700,8509.8
2017,June,4 Western, Loddon,349,4610.9
2017,June,4 Western, Macedon Ranges,1681,3472.1
2017,June,4 Western, Mildura,5145,9281.5
2017,June,4 Western, Moorabool,2008,5960.4
2017,June,4 Western, Mount Alexander,865,4482.6
2017,June,4 Western, Moyne,526,3134.9
2017,June,4 Western, Northern Grampians,923,7963.1
2017,June,4 Western, Pyrenees,359,4901.0
2017,June,4 Western, Queenscliffe,134,4584.3
2017,June,4 Western, Southern Grampians,1017,6275.1
2017,June,4 Western, Surf Coast,1119,3546.2
2017,June,4 Western, Swan Hill,1769,8396.2
2017,June,4 Western, Warrnambool,2717,7870.8
2017,June,4 Western, West Wimmera,134,3390.7
2017,June,4 Western, Yarriambiack,350,5217.7
2017,June,4 Western,Total,66243,6728.2
2017,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,1264,
2017,June,Justice Institutions and Immigration Facilities,Total,1264,
2017,June,Unincorporated Vic, Unincorporated Vic,124,
2017,June,Unincorporated Vic,Total,124,
2016,June,1 North West Metro, Banyule,7236,5677.7
2016,June,1 North West Metro, Brimbank,15286,7486.2
2016,June,1 North West Metro, Darebin,12476,8042.5
2016,June,1 North West Metro, Hobsons Bay,5471,5854.8
2016,June,1 North West Metro, Hume,16246,7846.8
2016,June,1 North West Metro, Maribyrnong,7399,8510.3
2016,June,1 North West Metro, Melbourne,26512,18147.0
2016,June,1 North West Metro, Melton,8981,6350.6
2016,June,1 North West Metro, Merri-bek,11789,6842.4
2016,June,1 North West Metro, Moonee Valley,7363,5992.5
2016,June,1 North West Metro, Nillumbik,2117,3298.8
2016,June,1 North West Metro, Whittlesea,11969,5780.5
2016,June,1 North West Metro, Wyndham,12359,5444.3
2016,June,1 North West Metro, Yarra,10737,11558.3
2016,June,1 North West Metro,Total,155941,7614.3
2016,June,2 Eastern, Alpine,295,2345.4
2016,June,2 Eastern, Bass Coast,2018,6030.4
2016,June,2 Eastern, Baw Baw,2798,5675.9
2016,June,2 Eastern, Benalla,946,6765.8
2016,June,2 Eastern, Boroondara,6356,3585.4
2016,June,2 Eastern, East Gippsland,3213,7046.1
2016,June,2 Eastern, Greater Shepparton,5889,9050.0
2016,June,2 Eastern, Indigo,357,2208.5
2016,June,2 Eastern, Knox,8042,5015.2
2016,June,2 Eastern, Latrobe,9848,13197.2
2016,June,2 Eastern, Manningham,3440,2806.6
2016,June,2 Eastern, Mansfield,441,5084.2
2016,June,2 Eastern, Maroondah,6353,5534.0
2016,June,2 Eastern, Mitchell,3099,7414.8
2016,June,2 Eastern, Moira,1204,4083.3
2016,June,2 Eastern, Monash,8149,4230.5
2016,June,2 Eastern, Murrindindi,569,4049.2
2016,June,2 Eastern, South Gippsland,947,3251.8
2016,June,2 Eastern, Strathbogie,424,4093.8
2016,June,2 Eastern, Towong,194,3208.7
2016,June,2 Eastern, Wangaratta,1723,6026.2
2016,June,2 Eastern, Wellington,3199,7349.0
2016,June,2 Eastern, Whitehorse,5701,3360.6
2016,June,2 Eastern, Wodonga,2558,6379.1
2016,June,2 Eastern, Yarra Ranges,6142,3956.8
2016,June,2 Eastern,Total,83905,5069.7
2016,June,3 Southern Metro, Bayside,3956,3844.1
2016,June,3 Southern Metro, Cardinia,5084,5210.5
2016,June,3 Southern Metro, Casey,16450,5259.1
2016,June,3 Southern Metro, Frankston,11570,8293.8
2016,June,3 Southern Metro, Glen Eira,5365,3610.8
2016,June,3 Southern Metro, Greater Dandenong,14604,9114.9
2016,June,3 Southern Metro, Kingston,8394,5281.2
2016,June,3 Southern Metro, Mornington Peninsula,8731,5405.3
2016,June,3 Southern Metro, Port Phillip,10185,9376.1
2016,June,3 Southern Metro, Stonnington,8511,7667.4
2016,June,3 Southern Metro,Total,92850,6183.1
2016,June,4 Western, Ararat,877,7467.0
2016,June,4 Western, Ballarat,8952,8649.3
2016,June,4 Western, Buloke,186,2959.9
2016,June,4 Western, Campaspe,2619,6966.4
2016,June,4 Western, Central Goldfields,995,7603.0
2016,June,4 Western, Colac-Otway,1238,5795.3
2016,June,4 Western, Corangamite,602,3706.2
2016,June,4 Western, Gannawarra,440,4163.9
2016,June,4 Western, Glenelg,1315,6655.2
2016,June,4 Western, Golden Plains,646,2934.2
2016,June,4 Western, Greater Bendigo,6969,6207.5
2016,June,4 Western, Greater Geelong,17980,7506.4
2016,June,4 Western, Hepburn,646,4161.0
2016,June,4 Western, Hindmarsh,196,3388.7
2016,June,4 Western, Horsham,1872,9414.6
2016,June,4 Western, Loddon,359,4749.9
2016,June,4 Western, Macedon Ranges,1563,3291.9
2016,June,4 Western, Mildura,4767,8721.5
2016,June,4 Western, Moorabool,1755,5371.6
2016,June,4 Western, Mount Alexander,914,4786.1
2016,June,4 Western, Moyne,427,2551.2
2016,June,4 Western, Northern Grampians,863,7458.9
2016,June,4 Western, Pyrenees,395,5399.1
2016,June,4 Western, Queenscliffe,147,5018.8
2016,June,4 Western, Southern Grampians,895,5551.1
2016,June,4 Western, Surf Coast,1147,3765.0
2016,June,4 Western, Swan Hill,1668,7982.4
2016,June,4 Western, Warrnambool,2273,6638.0
2016,June,4 Western, West Wimmera,107,2717.8
2016,June,4 Western, Yarriambiack,342,5071.9
2016,June,4 Western,Total,63155,6527.2
2016,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,861,
2016,June,Justice Institutions and Immigration Facilities,Total,861,
2016,June,Unincorporated Vic, Unincorporated Vic,98,
2016,June,Unincorporated Vic,Total,98,
